Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
YAK1 1/2 SGT,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/2 SGT,49.21 mm/1.937 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
SAK1 1/2,1 1/2 in,47.6 mm / 1.874 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/2 in,Ball Bearing,GYA108RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 1/2,49.21 mm/1.937 in,179.4 mm/7.063 in,47.6 mm/1.874 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,100 mm/3.937 in,39.3 mm/1.547 in,27.67 mm/1.089 in,52.4 mm/2.063 in,19800 N/4460 lbf,36200 N/8130 lbf
YAS1 1/2 SGT,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/2 SGT,49.21 mm/1.937 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
SAS1 1/2,1 1/2 in,47.6 mm / 1.874 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/2 in,Ball Bearing,GYA108RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 1/2,49.21 mm/1.937 in,179.4 mm/7.063 in,47.6 mm/1.874 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19 mm,100 mm/3.937 in,39.3 mm/1.547 in,27.67 mm/1.089 in,52.4 mm/2.063 in,19800 N/4460 lbf,36200 N/8130 lbf
SAS1 1/2 H,1 1/2 in,47.6 mm / 1.874 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/2 in,Ball Bearing,GYA108RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 1/2 H,53.9 mm/2.122 in,179.4 mm/7.063 in,47.6 mm/1.874 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19 mm,100 mm/3.937 in,39.3 mm/1.547 in,27.67 mm/1.089 in,52.4 mm/2.063 in,19800 N/4460 lbf,36200 N/8130 lbf
YASM1 1/2,1 1/2 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GYM1108KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 1/2,53.98 mm/2.125 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.22 mm/0.56 in,28.45 mm/1.12 in,19.1 mm/0.75 in,106.3 mm/4.185 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,20500 N/4600 lbf,36300 N/8160 lbf
YAK1 1/2 PT SGT,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/2 PT SGT,49.21 mm/1.937 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
YAS1 1/2 PT SGT,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/2 PT SGT,49.21 mm/1.937 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
YAS1 1/2H SGT,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/2H SGT,53.98 mm/2.125 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
YASM1 1/2H,1 1/2 in,66.6 mm / 2.62 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GYM1108KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 1/2H,58.7 mm/2.312 in,222.3 mm/8-3/4 in,66.6 mm/2.62 in,155.5 mm/6.12 in,17.5 mm/0.69 in,33.3 mm/1.31 in,20.6 mm/0.81 in,114.3 mm/4.5 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,20500 N/4600 lbf,36300 N/8160 lbf
YAS1 1/2,1 1/2 in,51.6 mm / 2.031 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/2 in,Ball Bearing,GY1108KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/2,49.21 mm/1.937 in,179.4 mm/7.063 in,51.6 mm/2.031 in,136.5 mm/5.374 in,14.3 mm/0.563 in,26.2 mm/1.031 in,19.1 mm/0.75 in,101.6 mm/4 in,49.22 mm/1.938 in,30.17 mm/1.188 in,,19800 N/4460 lbf,36200 N/8130 lbf
YAK1 5/8 SGT,1 5/8 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/8 in,Ball Bearing,GY1110KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 5/8 SGT,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAK1 5/8,1 5/8 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 5/8 in,Ball Bearing,GYA110RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 5/8,52.39 mm/2.063 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YAS1 5/8 SGT,1 5/8 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/8 in,Ball Bearing,GY1110KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 5/8 SGT,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAS1 5/8,1 5/8 in,51 mm / 2.008 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 5/8 in,Ball Bearing,GYA110RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 5/8,53.9 mm/2.122 in,191.3 mm/7.531 in,51 mm/2.008 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19 mm,106.3 mm/4.185 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YAS1 5/8,1 5/8 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/8 in,Ball Bearing,GY1110KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 5/8,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm/0.75 in,106.4 mm/4.189 in,49.22 mm/1.94 in,30.17 mm/1.188 in,,20500 N/4600 lbf,36300 N/8160 lbf
YAK1 11/16 SGT,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,GY1111KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 11/16 SGT,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAK1 11/16,1 11/16 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 11/16 in,Ball Bearing,GYA111RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 11/16,52.39 mm/2.063 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YAS1 11/16 SGT,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,GY1111KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 11/16 SGT,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAS1 11/16,1 11/16 in,51 mm / 2.008 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 11/16 in,Ball Bearing,GYA111RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 11/16,53.9 mm/2.122 in,191.3 mm/7.531 in,51 mm/2.008 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19 mm,106.3 mm/4.185 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YASM1 11/16,1 11/16 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,GYM1111KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 11/16,57.15 mm/2.25 in,200 mm/7.874 in,55.6 mm/2.189 in,157.9 mm/6.217 in,17.53 mm/0.69 in,23.88 mm/0.94 in,19.1 mm,114.3 mm/4.5 in,51.59 mm/2.031 in,32.54 mm/1.281 in,62.84 mm/2.474 in,23200 N/5210 lbf,38900 N/8740 lbf
YAS1 11/16,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,GY1111KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 11/16,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm/0.75 in,106.4 mm/4.189 in,49.22 mm/1.94 in,30.17 mm/1.188 in,,20500 N/4600 lbf,36300 N/8160 lbf
YAK1 3/4 SGT,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,GY1112KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 3/4 SGT,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAK1 3/4,1 3/4 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/4 in,Ball Bearing,GYA112RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 3/4,52.39 mm/2.063 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YAS1 3/4 SGT,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,GY1112KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/4 SGT,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,50.37 mm/1.983 in,31.32 mm/1.233 in,57.92 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
SAS1 3/4,1 3/4 in,51 mm / 2.008 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/4 in,Ball Bearing,GYA112RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 3/4,53.9 mm/2.122 in,191.3 mm/7.531 in,51 mm/2.008 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19 mm,106.3 mm/4.185 in,42 mm/1.654 in,28.54 mm/1.124 in,57.9 mm/2.28 in,20500 N/4600 lbf,36300 N/8160 lbf
YASM1 3/4,1 3/4 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,GYM1112KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 3/4,57.15 mm/2.25 in,200 mm/7.874 in,55.6 mm/2.189 in,157.9 mm/6.217 in,17.53 mm/0.69 in,23.88 mm/0.94 in,19.1 mm,114.3 mm/4.5 in,51.59 mm/2.031 in,32.54 mm/1.281 in,62.84 mm/2.474 in,23200 N/5210 lbf,38900 N/8740 lbf
YAS1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,GY1112KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/4,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm/0.75 in,106.4 mm/4.189 in,49.22 mm/1.94 in,30.17 mm/1.188 in,,20500 N/4600 lbf,36300 N/8160 lbf
YAK1 15/16 SGT,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,GY1115KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 15/16 SGT,55.56 mm/2.187 in,200.2 mm/7.882 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.5 mm,112.7 mm/4.437 in,51.59 mm/2.031 in,32.54 mm/1.281 in,62.84 mm/2.474 in,23200 N/5210 lbf,38900 N/8740 lbf
SAK1 15/16,1 15/16 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 15/16 in,Ball Bearing,GYA115RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 15/16,55.56 mm/2.187 in,200.2 mm/7.882 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,17.5 mm,112.7 mm/4.437 in,44.3 mm/1.744 in,30.84 mm/1.214 in,62.7 mm/2.469 in,23200 N/5210 lbf,38900 N/8740 lbf
YAS1 15/16 SGT,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,GY1115KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 15/16 SGT,57.15 mm/2.25 in,200.2 mm/7.882 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,51.59 mm/2.031 in,32.54 mm/1.281 in,62.84 mm/2.474 in,23200 N/5210 lbf,38900 N/8740 lbf
SAS1 15/16,1 15/16 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 15/16 in,Ball Bearing,GYA115RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 15/16,57.2 mm/2.252 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,19 mm,114.3 mm/4.5 in,44.3 mm/1.744 in,30.84 mm/1.214 in,62.7 mm/2.469 in,23200 N/5210 lbf,38900 N/8740 lbf
YASM1 15/16,1 15/16 in,54.8 mm / 2.157 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,GYM1115KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 15/16,63.5 mm/2.5 in,222.3 mm/8.752 in,54.8 mm/2.157 in,176.2 mm/6.937 in,18.26 mm/0.719 in,29.46 mm/1.16 in,20.6 mm,126.2 mm/4.969 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
YAS1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,GY1115KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 15/16,57.15 mm/2.25 in,200.2 mm/7.882 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm/0.75 in,114.3 mm/4.5 in,51.59 mm/2.031 in,32.54 mm/1.281 in,,23200 N/5210 lbf,38900 N/8740 lbf
YAK2 SGT,2 in,60.3 mm / 2.374 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 in,Ball Bearing,GY1200KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK2 SGT,61.91 mm/2.437 in,222.3 mm/8.752 in,60.3 mm/2.374 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19.1 mm,126.2 mm/4.969 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
SAK2S,2 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,2 in,Ball Bearing,GYA115RRB2,Narrow Shroud,Two-Bolt Pillow Block,SAK2S,55.56 mm/2.187 in,200.2 mm/7.882 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,17.5 mm,112.7 mm/4.437 in,44.3 mm/1.744 in,30.84 mm/1.214 in,62.7 mm/2.469 in,23200 N/5210 lbf,38900 N/8740 lbf
SAK2,2 in,58.7 mm / 2.311 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,2 in,Ball Bearing,GYA200RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK2,61.91 mm/2.437 in,222.3 mm/8.752 in,58.7 mm/2.311 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19.1 mm,124.6 mm/4.906 in,46.6 mm/1.835 in,32 mm/1.26 in,69.8 mm/2.748 in,29200 N/6570 lbf,48100 N/10800 lbf
YAS2 SGT,2 in,60.3 mm / 2.374 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 in,Ball Bearing,GY1200KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS2 SGT,63.5 mm/2.5 in,222.3 mm/8.752 in,60.3 mm/2.374 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,20.6 mm,127.8 mm/5.031 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
SAS2 S,2 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,2 in,Ball Bearing,GYA115RRB2,Narrow Shroud,Two-Bolt Pillow Block,SAS2 S,57.2 mm/2.252 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,19 mm,114.3 mm/4.5 in,44.3 mm/1.744 in,30.84 mm/1.214 in,62.7 mm/2.469 in,23200 N/5210 lbf,38900 N/8740 lbf
SAS2,2 in,58.7 mm / 2.311 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,2 in,Ball Bearing,GYA200RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS2,63.5 mm/2.5 in,222.3 mm/8.752 in,58.7 mm/2.311 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,20.6 mm,126.2 mm/4.969 in,46.6 mm/1.835 in,32 mm/1.26 in,69.8 mm/2.748 in,29200 N/6570 lbf,48100 N/10800 lbf
YASM2,2 in,54.8 mm / 2.157 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 in,Ball Bearing,GY1200KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM2,63.5 mm/2.5 in,222.3 mm/8.752 in,54.8 mm/2.157 in,176.2 mm/6.937 in,18.26 mm/0.719 in,29.46 mm/1.16 in,20.6 mm,126.2 mm/4.969 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
YAS2,2 in,60.3 mm / 2.374 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 in,Ball Bearing,GY1200KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS2,63.5 mm/2.5 in,222.3 mm/8.752 in,60.3 mm/2.374 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,20.6 mm,127.8 mm/5.031 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
YAK2 3/16 SGT,2 3/16 in,60.3 mm / 2.374 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 3/16 in,Ball Bearing,GY1203KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK2 3/16 SGT,61.91 mm/2.437 in,222.3 mm/8.752 in,60.3 mm/2.374 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19.1 mm,126.2 mm/4.969 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
SAK2 3/16,2 3/16 in,58.7 mm / 2.311 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,2 3/16 in,Ball Bearing,GYA203RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK2 3/16,61.91 mm/2.437 in,222.3 mm/8.752 in,58.7 mm/2.311 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19.1 mm,124.6 mm/4.906 in,46.6 mm/1.835 in,32 mm/1.26 in,69.8 mm/2.748 in,29200 N/6570 lbf,48100 N/10800 lbf
YAS2 3/16 SGT,2 3/16 in,60.3 mm / 2.374 in,29200 N / 6570 lbf,48100 N / 10800 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,2 3/16 in,Ball Bearing,GY1203KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS2 3/16 SGT,63.5 mm/2.5 in,222.3 mm/8.752 in,60.3 mm/2.374 in,176.2 mm/6.937 in,18.3 mm/0.72 in,29.4 mm/1.157 in,20.6 mm,127.8 mm/5.031 in,55.55 mm/2.187 in,33.32 mm/1.312 in,69.77 mm/2.747 in,29200 N/6570 lbf,48100 N/10800 lbf
