Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
YAS 3/4,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,GY1012KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS 3/4,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm/0.59 in,65.9 mm/2.594 in,31.021 mm/1.221 in,18.321 mm/0.721 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
YAK 20 SGT,20 mm,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,20 mm,Ball Bearing,GYE20KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK20 SGT,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
SAK 20,20 mm,31.8 mm / 1.252 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,20 mm,Ball Bearing,GYAE20RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK20,31.75 mm/1.25 in,127 mm/5 in,31.8 mm/1.252 in,96 mm/3.78 in,11.1 mm/0.437 in,19.8 mm/0.78 in,11.9 mm,62.7 mm/2.469 in,27 mm/1.063 in,18.14 mm/0.714 in,29 mm/1.142 in,6500 N/1460 lbf,14200 N/3190 lbf
YAS 20 SGT,20 mm,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,20 mm,Ball Bearing,GYE20KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS20 SGT,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
SAS 20,20 mm,31.8 mm / 1.252 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,20 mm,Ball Bearing,GYAE20RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS20,33.34 mm/1.313 in,127 mm/5 in,31.8 mm/1.252 in,96 mm/3.78 in,11.1 mm/0.437 in,19.8 mm/0.78 in,13.5 mm,64.3 mm/2.531 in,27 mm/1.063 in,18.14 mm/0.714 in,29 mm/1.142 in,6500 N/1460 lbf,14200 N/3190 lbf
SAS 15/16,15/16 in,35.7 mm / 1.406 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,15/16 in,Ball Bearing,GYA015RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS15/16,36.51 mm/1.437 in,139.7 mm/5.5 in,35.7 mm/1.406 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm,71.4 mm/2.811 in,28.2 mm/1.11 in,19.36 mm/0.762 in,33.7 mm/1.327 in,7800 N/1750 lbf,15500 N/3490 lbf
YAS 15/16,15/16 in,35.7 mm / 2.88 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,15/16 in,Ball Bearing,GY1015KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS 15/16,36.51 mm/1.437 in,139.7 mm/5.5 in,35.7 mm/2.88 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm/0.59 in,73 mm/2.874 in,34.171 mm/1.345 in,19.901 mm/0.784 in,,7800 N/1750 lbf,15500 N/3490 lbf
YAK1 SGT,1 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GY1100KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 SGT,33.34 mm/1.313 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,70 mm/2.756 in,34.85 mm/1.372 in,20.56 mm/0.809 in,33.83 mm/1.332 in,7800 N/1750 lbf,15500 N/3490 lbf
SAK1,1 in,35.7 mm / 1.406 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 in,Ball Bearing,GYA100RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1,33.34 mm/1.313 in,139.7 mm/5.5 in,35.7 mm/1.406 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,68 mm/2.677 in,28.2 mm/1.11 in,19.36 mm/0.762 in,33.7 mm/1.327 in,7800 N/1750 lbf,15500 N/3490 lbf
YAS1 SGT,1 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GY1100KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 SGT,36.51 mm/1.437 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm,73 mm/2.874 in,34.85 mm/1.372 in,20.56 mm/0.809 in,33.83 mm/1.332 in,7800 N/1750 lbf,15500 N/3490 lbf
