Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPH17V300S,22217 ,3 in,3.75 in / 95.3 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,QVPH17V300SB/QVPH17V300SC/QVPH17V300SEB/QVPH17V300SEC/QVPH17V300SEM/QVPH17V300SEN/QVPH17V300SEO/QVPH17V300SET/QVPH17V300SM/QVPH17V300SN/QVPH17V300SO/QVPH17V300ST,Single V-Lock,Four-Bolt Pillow Block,0883450053273/0883450053341/0883450206679/0883450206822/0883450219105/0883450219259/0883450231527/0883450231671/0883450240260/0883450240413/0883450245227/0883450245371,3.75 in/95.3 mm,7.2 in/182.9 mm,4.19 in/106.4 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.13 in/54.1 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.26 in/32 mm,0.625 in/16 mm,3.91 in/99.3 mm,0.24 in/6.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPR16V300S,22216 ,3 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVPR16V300SB/QVPR16V300SC/QVPR16V300SEB/QVPR16V300SEC/QVPR16V300SEM/QVPR16V300SEN/QVPR16V300SEO/QVPR16V300SET/QVPR16V300SM/QVPR16V300SN/QVPR16V300SO/QVPR16V300ST,Single V-Lock,Four-Bolt Pillow Block,0883450060110/0883450060141/0883450114431/0883450114479/0883450175548/0883450204415/0883450204736/0883450216838/0883450217156/0883450229258/0883450229579/0883450297080,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,8 in/203.2 mm,9.6 in/243.8 mm,2.13 in/54.1 mm,10.83 in/275.1 mm,3.38 in/85.9 mm,1.16 in/29.5 mm,0.625 in/16 mm,3.78 in/96 mm,0.3 in/7.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPK17V300S,22217 ,3 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,QVPK17V300SB/QVPK17V300SC/QVPK17V300SEB/QVPK17V300SEC/QVPK17V300SEM/QVPK17V300SEN/QVPK17V300SEO/QVPK17V300SET/QVPK17V300SN/QVPK17V300SO/QVPK17V300ST,Single V-Lock,Four-Bolt Pillow Block,0883450054362/0883450207058/0883450207201/0883450219488/0883450219631/0883450231909/0883450232050/0883450240642/0883450240796/0883450245609/0883450245753,4 in/101.6 mm,7.92 in/201.2 mm,4.19 in/106.4 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.76 in/19.3 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPX16V300S,22216 ,3 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVPX16V300SB/QVPX16V300SC/QVPX16V300SEB/QVPX16V300SEC/QVPX16V300SEM/QVPX16V300SEN/QVPX16V300SEO/QVPX16V300SET/QVPX16V300SM/QVPX16V300SN/QVPX16V300SO/QVPX16V300ST,Single V-Lock,Four-Bolt Pillow Block,,3.5 in/88.9 mm,6.83 in/173.5 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.22 in/107.2 mm,0.22 in/5.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPF16V300S,22216 ,3 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,3 in,Imperial,QVPF16V300SB/QVPF16V300SC/QVPF16V300SEB/QVPF16V300SEC/QVPF16V300SEM/QVPF16V300SEN/QVPF16V300SEO/QVPF16V300SET/QVPF16V300SM/QVPF16V300SN/QVPF16V300SO/QVPF16V300ST,Single V-Lock,Four-Bolt Pillow Block,883450049573/883450049580/883450112154/883450112192/883450173643/883450203654/883450204033/883450216074/883450216456/883450228497/883450228879/883450296687,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.6 in/193 mm,9.1 in/231.1 mm,1.88 in/47.8 mm,10.44 in/265.2 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.625 in/16 mm,3.66 in/93 mm,0.35 in/8.9 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPH20V303S,22220 ,3 3/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 3/16 in,Imperial,QVPH20V303SB/QVPH20V303SC/QVPH20V303SEB/QVPH20V303SEC/QVPH20V303SEM/QVPH20V303SEN/QVPH20V303SEO/QVPH20V303SET/QVPH20V303SM/QVPH20V303SN/QVPH20V303SO/QVPH20V303ST,Single V-Lock,Four-Bolt Pillow Block,0883450148245/0883450148481/0883450153072/0883450153232/0883450175388/0883450176019/0883450185288/0883450185431/0883450278195/0883450278546/0883450283038/0883450283182,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPR19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVPR19V303SB/QVPR19V303SC/QVPR19V303SEB/QVPR19V303SEC/QVPR19V303SEM/QVPR19V303SEN/QVPR19V303SEO/QVPR19V303SET/QVPR19V303SM/QVPR19V303SN/QVPR19V303SO/QVPR19V303ST,Single V-Lock,Four-Bolt Pillow Block,0883450060417/0883450060448/0883450114615/0883450114653/0883450175562/0883450204439/0883450204750/0883450216852/0883450217170/0883450229272/0883450229593/0883450297110,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.29 in/7.4 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPK20V303S,22220 ,3 3/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 3/16 in,Imperial,QVPK20V303SB/QVPK20V303SC/QVPK20V303SEB/QVPK20V303SEC/QVPK20V303SEM/QVPK20V303SEN/QVPK20V303SEO/QVPK20V303SET/QVPK20V303SM/QVPK20V303SN/QVPK20V303SO/QVPK20V303ST,Single V-Lock,Four-Bolt Pillow Block,0883450149235/0883450149365/0883450153720/0883450153812/0883450176811/0883450176903/0883450186766/0883450186858/0883450279475/0883450279567/0883450283670/0883450283762,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.55 in/14 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPX19V303S,22219 ,3 3/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVPX19V303SB/QVPX19V303SC/QVPX19V303SEB/QVPX19V303SEC/QVPX19V303SEM/QVPX19V303SEN/QVPX19V303SEO/QVPX19V303SET/QVPX19V303SM/QVPX19V303SN/QVPX19V303SO/QVPX19V303ST,Single V-Lock,Four-Bolt Pillow Block,,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.31 in/7.9 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPF19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVPF19V303SB/QVPF19V303SC/QVPF19V303SEB/QVPF19V303SEC/QVPF19V303SEM/QVPF19V303SEN/QVPF19V303SEO/QVPF19V303SET/QVPF19V303SM/QVPF19V303SN/QVPF19V303SO/QVPF19V303ST,Single V-Lock,Four-Bolt Pillow Block,883450049795/883450049825/883450112338/883450112376/883450173667/883450203678/883450204057/883450216098/883450216470/883450228510/883450228893/883450296717,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.43 in/10.9 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPG19V303S,22219 ,3 3/16 in,3.94 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVPG19V303SB/QVPG19V303SC/QVPG19V303SEB/QVPG19V303SEC/QVPG19V303SEM/QVPG19V303SEN/QVPG19V303SEO/QVPG19V303SET/QVPG19V303SM/QVPG19V303SN/QVPG19V303SO/QVPG19V303ST,Single V-Lock,Four-Bolt Pillow Block,883450421584/883450421591/883450421607/883450421614/883450421621/883450421638/883450421645/883450421652/883450421669/883450421676/883450421683/883450421690,3.94 in/100 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/20 mm,4.3 in/109.2 mm,0.26 in/6.6 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPH19V303S,22219 ,3 3/16 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVPH19V303SB/QVPH19V303SC/QVPH19V303SEB/QVPH19V303SEC/QVPH19V303SEM/QVPH19V303SEN/QVPH19V303SEO/QVPH19V303SET/QVPH19V303SM/QVPH19V303SN/QVPH19V303SO/QVPH19V303ST,Single V-Lock,Four-Bolt Pillow Block,883450564397/883450564403/883450586528/883450586535/883450586542/883450586559/883450586566/883450586573/883450586580/883450586597/883450586603/883450586610,4 in/101.6 mm,7.96 in/202.2 mm,4.9 in/124.5 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54.1 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,4.18 in/106.3 mm,0.18 in/4.57 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPH20V304S,22220 ,3 1/4 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/4 in,Imperial,QVPH20V304SB/QVPH20V304SC/QVPH20V304SEB/QVPH20V304SEC/QVPH20V304SEM/QVPH20V304SEN/QVPH20V304SEO/QVPH20V304SET/QVPH20V304SM/QVPH20V304SN/QVPH20V304SO/QVPH20V304ST,Single V-Lock,Four-Bolt Pillow Block,0883450148252/0883450148498/0883450153089/0883450153249/0883450175395/0883450176026/0883450185295/0883450185448/0883450278201/0883450278553/0883450283045/0883450283199,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPR19V304S,22219 ,3 1/4 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVPR19V304SB/QVPR19V304SC/QVPR19V304SEB/QVPR19V304SEC/QVPR19V304SEM/QVPR19V304SEN/QVPR19V304SEO/QVPR19V304SET/QVPR19V304SM/QVPR19V304SN/QVPR19V304SO/QVPR19V304ST,Single V-Lock,Four-Bolt Pillow Block,0883450060516/0883450060547/0883450114677/0883450114714/0883450175579/0883450204446/0883450204767/0883450216869/0883450217187/0883450229289/0883450229609/0883450297127,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.29 in/7.4 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPK20V304S,22220 ,3 1/4 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/4 in,Imperial,QVPK20V304SB/QVPK20V304SC/QVPK20V304SEB/QVPK20V304SEC/QVPK20V304SEM/QVPK20V304SEN/QVPK20V304SEO/QVPK20V304SET/QVPK20V304SM/QVPK20V304SN/QVPK20V304SO/QVPK20V304ST,Single V-Lock,Four-Bolt Pillow Block,0883450149242/0883450149372/0883450153737/0883450153829/0883450176828/0883450176910/0883450186773/0883450186865/0883450279482/0883450279574/0883450283687/0883450283779,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.55 in/14 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPX19V304S,22219 ,3 1/4 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVPX19V304SB/QVPX19V304SC/QVPX19V304SEB/QVPX19V304SEC/QVPX19V304SEM/QVPX19V304SEN/QVPX19V304SEO/QVPX19V304SET/QVPX19V304SM/QVPX19V304SN/QVPX19V304SO/QVPX19V304ST,Single V-Lock,Four-Bolt Pillow Block,,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.31 in/7.9 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPF19V304S,22219 ,3 1/4 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVPF19V304SB/QVPF19V304SC/QVPF19V304SEB/QVPF19V304SEC/QVPF19V304SEM/QVPF19V304SEN/QVPF19V304SEO/QVPF19V304SET/QVPF19V304SM/QVPF19V304SN/QVPF19V304SO/QVPF19V304ST,Single V-Lock,Four-Bolt Pillow Block,883450049894/883450049924/883450112390/883450112437/883450173674/883450203685/883450204064/883450216104/883450216487/883450228527/883450228909/883450296724,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.43 in/10.9 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPG19V304S,22219 ,3 1/4 in,3.94 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVPG19V304SB/QVPG19V304SC/QVPG19V304SEB/QVPG19V304SEC/QVPG19V304SEM/QVPG19V304SEN/QVPG19V304SEO/QVPG19V304SET/QVPG19V304SM/QVPG19V304SN/QVPG19V304SO/QVPG19V304ST,Single V-Lock,Four-Bolt Pillow Block,883450421706/883450421713/883450421720/883450421737/883450421744/883450421751/883450421768/883450421775/883450421782/883450421799/883450421805/883450421812,3.94 in/100 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/20 mm,4.3 in/109.2 mm,0.26 in/6.6 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPH19V304S,22219 ,3 1/4 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVPH19V304SB/QVPH19V304SC/QVPH19V304SEB/QVPH19V304SEC/QVPH19V304SEM/QVPH19V304SEN/QVPH19V304SEO/QVPH19V304SET/QVPH19V304SM/QVPH19V304SN/QVPH19V304SO/QVPH19V304ST,Single V-Lock,Four-Bolt Pillow Block,883450564335/883450564342/883450585651/883450585668/883450585675/883450585682/883450585699/883450585705/883450585712/883450585729/883450585736/883450585743,4 in/101.6 mm,7.96 in/202.2 mm,4.9 in/124.5 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54.1 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,4.18 in/106.3 mm,0.18 in/4.57 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPG20V307S,22220 ,3 7/16 in,4.41 in / 112 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVPG20V307SB/QVPG20V307SC/QVPG20V307SEB/QVPG20V307SEC/QVPG20V307SEM/QVPG20V307SEN/QVPG20V307SEO/QVPG20V307SET/QVPG20V307SM/QVPG20V307SN/QVPG20V307SO/QVPG20V307ST/QVPG20V307STHT/QVPG20V307STNG,Single V-Lock,Four-Bolt Pillow Block,0883450051095/0883450206396/0883450206549/0883450218825/0883450218979/0883450231244/0883450231398/0883450239981/0883450240130/0883450244947/0883450245098/0883450296908/0883450458801/0883450459044,4.41 in/112 mm,8.45 in/214.6 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPH20V307S,22220 ,3 7/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVPH20V307SB/QVPH20V307SC/QVPH20V307SEB/QVPH20V307SEC/QVPH20V307SEM/QVPH20V307SEN/QVPH20V307SEO/QVPH20V307SET/QVPH20V307SM/QVPH20V307SN/QVPH20V307SO/QVPH20V307ST,Single V-Lock,Four-Bolt Pillow Block,0883450053570/0883450053655/0883450206693/0883450206846/0883450219129/0883450219273/0883450231541/0883450231695/0883450240284/0883450240437/0883450245241/0883450245395,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
