,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PDF_Page
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,94
8,QVP19V090S  / QVVP19V090S,90mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
9,QVP19V311S  / QVVP19V311S,3 11/16in. ,22222,104.9 / 4.13,219.7 / 8.65,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,50.8 / 2.00,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,95
10,QVP19V312S  / QVVP19V312S,3 3/4in. ,22222,104.9 / 4.13,219.7 / 8.65,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,50.8 / 2.00,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,95
11,QVP19V100S  / QVVP19V100S,100mm ,22222,104.9 / 4.13,219.7 / 8.65,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,50.8 / 2.00,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,95
12,QVP19V315S  / QVVP19V315S,3 15/16in. ,22222,104.9 / 4.13,219.7 / 8.65,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,50.8 / 2.00,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,95
13,QVP19V400S  / QVVP19V400S,4in. ,22222,104.9 / 4.13,219.7 / 8.65,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,50.8 / 2.00,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,95
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,96
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,,,96
2,QVPL11V115S / QVVPL11V115S,1 15/16in. ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,150.6 / 5.93,161.5 / 6.36,212.9 / 8.38,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,96
3,QVPL11V200S / QVVPL11V200S,2in. ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,150.6 / 5.93,161.5 / 6.36,212.9 / 8.38,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,96
4,QVPL11V050S / QVVPL11V050S,50mm ,22211,57.2 / 2.25,122.2 / 4.81,75.9 / 2.99,150.6 / 5.93,161.5 / 6.36,212.9 / 8.38,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,82.0 / 3.23,2.2 / 0.09,20.1 / 0.79,79.8 / 3.14,102.1 / 4.02,6.4 / 14,22211,22211,22211,22211,22211,22211,22211,96
5,QVPL12V203S / QVVPL12V203S,2 3/16in. ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,179.3 / 7.06,225.6 / 8.88,65.5 / 2.58,31.8 / 1.25,16mm  5/8in.,83.8 / 3.30,4.0 / 0.16,18.3 / 0.72,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,96
6,QVPL12V204S / QVVPL12V204S,2 1/4in. ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,179.3 / 7.06,225.6 / 8.88,65.5 / 2.58,31.8 / 1.25,16mm  5/8in.,83.8 / 3.30,4.0 / 0.16,18.3 / 0.72,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,96
7,QVPL12V055S / QVVPL12V055S,55mm ,22212,63.5 / 2.50,133.4 / 5.25,80.3 / 3.16,165.1 / 6.50,179.3 / 7.06,225.6 / 8.88,65.5 / 2.58,31.8 / 1.25,16mm  5/8in.,83.8 / 3.30,4.0 / 0.16,18.3 / 0.72,79.8 / 3.14,102.1 / 4.02,7.7 / 17,22212,22212,22212,22212,22212,22212,22212,96
8,QVPL14V060S / QVVPL14V060S,60mm ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,1736.8 / 1,189.0 / 7.44,235.0 / 9.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,96
9,QVPL14V207S / QVVPL14V207S,2 7/16in. ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,1736.8 / 1,189.0 / 7.44,235.0 / 9.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,96
10,QVPL14V208S / QVVPL14V208S,2 1/2in. ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,1736.8 / 1,189.0 / 7.44,235.0 / 9.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,96
11,QVPL14V065S / QVVPL14V065S,65mm ,22214,69.9 / 2.75,147.3 / 5.80,94.0 / 3.70,1736.8 / 1,189.0 / 7.44,235.0 / 9.25,73.7 / 2.90,35.1 / 1.38,16mm  5/8in.,88.9 / 3.50,7.8 / 0.31,15.2 / 0.60,81.0 / 3.19,103.9 / 4.09,10.0 / 22,22214,22214,22214,22214,22214,22214,22214,96
12,QVPL16V211S / QVVPL16V211S,2 11/16in. ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
13,QVPL16V212S / QVVPL16V212S,2 3/4in. ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
14,QVPL16V070S / QVVPL16V070S,70mm ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
15,QVPL16V215S / QVVPL16V215S,2 15/16in. ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
16,QVPL16V300S / QVVPL16V300S,3in. ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
17,QVPL16V075S / QVVPL16V075S,75mm ,22216,82.6 / 3.25,167.4 / 6.59,106.4 / 4.19,195.6 / 7.70,213.4 / 8.40,265.2 / 10.44,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,96
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,97
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,,,97
2,QVPL19V303S / QVVPL19V303S,3 3/16in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
3,QVPL19V304S / QVVPL19V304S,3 1/4in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
