Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC,Dimension K
LSE200BRHSRSS,2 in,Viton Single Lip ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,2 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BR,LSE200HR,S02,LSE200BRHRSS,013992025722,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.8 in/96 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",809.30 lbf/3600 N,013992097873,
LSE200BXHSHTPS,2 in,High Temperature Packing ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,2 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BX,LSE200HX,S02,LSE200BXHHTPS,013992025739,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.8 in/96 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992098528,
LSE200BRHSHTPS,2 in,High Temperature Packing ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,2 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BR,LSE200HR,S02,LSE200BRHHTPS,013992025722,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.8 in/96 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",809.30 lbf/3600 N,013992097774,
LSE200BXHSATL,2 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,2 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BX,LS2HXTL,S02,,,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.9 in/98 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE200BRHSATL,2 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,2 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BR,LS2HRTL,S02,,,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.9 in/98 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",809.30 lbf/3600 N,,
LSE200BXHSFS,2 in,Felt Type ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,2 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BX,LSE200HX,S02,LSE200BXH,013992025739,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.8 in/96 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE200BRHSFS,2 in,Felt Type ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,2 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE200BR,LSE200HR,S02,LSE200BRH,013992025722,2.756 in/70 mm,1 in/25 mm,6.2 in/158 mm,8.4 in/214 mm,10.6 in/270 mm,2.4 in/60 mm,3.8 in/96 mm,18659 lbf/83000 N,19558 lbf/87000 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",809.30 lbf/3600 N,,
LSE203BXHS,2 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LSE203HX,S03,LSE203BXH,013992025784,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE203BRHS,2 3/16 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LSE203HR,S03,LSE203BRH,013992025777,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE203BXHSKPS,2 3/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LSE203HX,S03,LSE203BXHKPS,013992025784,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992100375,
LSE203BRHSKPS,2 3/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LSE203HR,S03,LSE203BRHKPS,013992025777,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992099327,
LSE203BXHSRSS,2 3/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LSE203HX,S03,LSE203BXHRSS,013992025784,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992100429,
LSE203BRHSRSS,2 3/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LSE203HR,S03,LSE203BRHRSS,013992025777,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992099372,
LSE203BXHSHTPS,2 3/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LSE203HX,S03,LSE203BXHHTPS,013992025784,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992100320,
LSE203BRHSHTPS,2 3/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LSE203HR,S03,LSE203BRHHTPS,013992025777,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992099273,
LSE203BXHSATL,2 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LS3HXTL,S03,,,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.1 in/104 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE203BRHSATL,2 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LS3HRTL,S03,,,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.1 in/104 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE203BXHSFS,2 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 3/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BX,LSE203HX,S03,LSE203BXH,013992025784,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE203BRHSFS,2 3/16 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 3/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE203BR,LSE203HR,S03,LSE203BRH,013992025777,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE204BXHS,2 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LSE204HX,S03,LSE204BXH,013992025845,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE204BRHS,2 1/4 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LSE204HR,S03,LSE204BRH,013992025838,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE204BXHSKPS,2 1/4 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LSE204HX,S03,LSE204BXHKPS,013992025845,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992102478,
LSE204BRHSKPS,2 1/4 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LSE204HR,S03,LSE204BRHKPS,013992025838,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992101426,
LSE204BXHSRSS,2 1/4 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LSE204HX,S03,LSE204BXHRSS,013992025845,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992102522,
LSE204BRHSRSS,2 1/4 in,Viton Single Lip ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LSE204HR,S03,LSE204BRHRSS,013992025838,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992101471,
LSE204BXHSHTPS,2 1/4 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LSE204HX,S03,LSE204BXHHTPS,013992025845,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992102423,
LSE204BRHSHTPS,2 1/4 in,High Temperature Packing ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LSE204HR,S03,LSE204BRHHTPS,013992025838,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992101372,
LSE204BXHSATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LS3HXTL,S03,,,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.1 in/104 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE204BRHSATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LS3HRTL,S03,,,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.1 in/104 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE204BXHSFS,2 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BX,LSE204HX,S03,LSE204BXH,013992025845,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE204BRHSFS,2 1/4 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE204BR,LSE204HR,S03,LSE204BRH,013992025838,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE207BXHS,2 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BX,LSE207HX,S03,LSE207BXH,013992025890,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE207BRHS,2 7/16 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BR,LSE207HR,S03,LSE207BRH,013992025883,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,,
LSE207BXHSKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BX,LSE207HX,S03,LSE207BXHKPS,013992025890,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992062086,
LSE207BRHSKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BR,LSE207HR,S03,LSE207BRHKPS,013992025883,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992103529,
LSE207BXHSRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BX,LSE207HX,S03,LSE207BXHRSS,013992025890,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992062130,
LSE207BRHSRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BR,LSE207HR,S03,LSE207BRHRSS,013992025883,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1213.95 lbf/5400 N,013992103574,
LSE207BXHSHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M16,LSE207BX,LSE207HX,S03,LSE207BXHHTPS,013992025890,3.15 in/80 mm,1.3 in/32 mm,7.1 in/180 mm,9.2 in/234 mm,11 in/280 mm,2.8 in/70 mm,4.0 in/102 mm,23155 lbf/103000 N,25853 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992062031,
