Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC
LSE104BXHSATL,1 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LS1HXTL'],['S01'],,,"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.4 in', '86 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE104BRHSATL,1 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LS1HRTL'],['S01'],,,"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.4 in', '86 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSE104BXHSFS,1 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LSE104HX'],['S01'],['LSE104BXH'],['013992025333'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE104BRHSFS,1 1/4 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LSE104HR'],['S01'],['LSE104BRH'],['013992025326'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSM35BXHS,35 mm,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['35 mm'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BX'],['LSM35HX'],['S01'],['LSM35BXH'],['013992029638'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM35BRHS,35 mm,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['35 mm'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BR'],['LSM35HR'],['S01'],['LSM35BRH'],['013992029621'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSM35BXHSKPS,35 mm,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['35 mm'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BX'],['LSM35HX'],['S01'],['LSM35BXHKPS'],['013992029638'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992091697']
LSM35BRHSKPS,35 mm,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['35 mm'],['Kevlar Packing Seal'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BR'],['LSM35HR'],['S01'],['LSM35BRHKPS'],['013992029621'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992091246']
LSM35BXHSRSS,35 mm,Viton Single Lip ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['35 mm'],['Viton Single Lip'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BX'],['LSM35HX'],['S01'],['LSM35BXHRSS'],['013992029638'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992091741']
LSM35BRHSRSS,35 mm,Viton Single Lip ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['35 mm'],['Viton Single Lip'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSM35BR'],['LSM35HR'],['S01'],['LSM35BRHRSS'],['013992029621'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992091291']
