Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Dimension d1,Dimension B1,Dimension S1,Dimension T,Static Load Rating,Dynamic Load Rating,Dimension A1
TAS1 11/16,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,G1111KPPB4,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 11/16,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RSA1 11/16,1 11/16 in,60.3 mm / 2.374 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,G1111KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 11/16,60.33 mm/2.375 in,209.6 mm/8.252 in,60.3 mm/2.374 in,168.3 mm/6.626 in,19 mm/0.748 in,23.8 mm/0.937 in,20.6 mm,114.3 mm/4.5 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,30.2 mm/1.189 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAK1 11/16 NT,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,G1111KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 11/16 NT,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.35 mm/5.88 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAS1 11/16 NT,1 11/16 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 11/16 in,Ball Bearing,G1111KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS1 11/16 NT,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RSAOC1 11/16,1 11/16 in,79.4 mm / 3.126 in,31700 N / 7120 lbf,58500 N / 13200 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 11/16 in,Ball Bearing,GN111KRRB,Shroud Seal,Two-Bolt Pillow Block,RSAOC1 11/16,79.38 mm/3-1/8 in,288.9 mm/11.374 in,79.4 mm/3.126 in,228.6 mm/9 in,19 mm/0.748 in,28.6 mm/1.126 in,30.2 mm,142.9 mm/5.626 in,69.9 mm/2.752 in,58.7 mm/2.3110 in,38.9 mm/1.531 in,39.7 mm/1.563 in,31700 N/7120 lbf,58500 N/13200 lbf,
LAO1 11/16,1 11/16 in,66.7 mm / 2.626 in,31700 N / 7120 lbf,58500 N / 13200 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 11/16 in,Ball Bearing,GN111KLLB,Shroud Seal,Two-Bolt Pillow Block,LAO1 11/16,66.68 mm/2.625 in,239.7 mm/9.437 in,66.7 mm/2.626 in,190.5 mm/7.5 in,19 mm/0.748 in,25.4 mm/1 in,30.2 mm,130.2 mm/5.126 in,69.9 mm/2.752 in,58.7 mm/2.3110 in,38.9 mm/1.531 in,33.4 mm/1.315 in,31700 N/7120 lbf,58500 N/13200 lbf,
VAK1 3/4,1 3/4 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/4 in,Ball Bearing,GRA112RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 3/4,52.39 mm/2.063 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,43.7 mm/1.72 in,32.7 mm/1.287 in,25.4 mm/1.000 in,20500 N/4600 lbf,36300 N/8160 lbf,
VAS1 3/4,1 3/4 in,50.8 mm / 2 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/4 in,Ball Bearing,GRA112RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 3/4,53.98 mm/2.125 in,191.3 mm/7.531 in,50.8 mm/2 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,43.7 mm/1.72 in,32.7 mm/1.287 in,25.4 mm/1.000 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAKH1 3/4,1 3/4 in,66.7 mm / 2.626 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB,Shroud Seal,Two-Bolt Pillow Block,RAKH1 3/4,58.74 mm/2.313 in,222.2 mm/8.748 in,66.7 mm/2.626 in,155.6 mm/6.126 in,17.5 mm/0.689 in,33.3 mm/1.311 in,20.6 mm,114.3 mm/4.5 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,33.4 mm/1.315 in,20500 N/4600 lbf,36300 N/8160 lbf,
RSAO1 3/4,1 3/4 in,79.4 mm / 3.126 in,31700 N / 7120 lbf,58500 N / 13200 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 3/4 in,Ball Bearing,GN112KRRB,Shroud Seal,Two-Bolt Pillow Block,RSAO1 3/4,79.38 mm/3-1/8 in,288.9 mm/11.374 in,79.4 mm/3.126 in,228.6 mm/9 in,19 mm/0.748 in,28.6 mm/1.126 in,30.2 mm,142.9 mm/5.626 in,69.9 mm/2.752 in,58.7 mm/2.3110 in,38.9 mm/1.531 in,39.7 mm/1.563 in,31700 N/7120 lbf,58500 N/13200 lbf,
RAK1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 3/4,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.35 mm/5.88 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
TAK1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KPPB4,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 3/4,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.35 mm/5.88 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
LAK1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LAK1 3/4,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.35 mm/5.88 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAS1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 3/4,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
TAS1 3/4,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KPPB4,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 3/4,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RSA1 3/4,1 3/4 in,60.3 mm / 2.374 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 3/4,60.33 mm/2.375 in,209.6 mm/8.252 in,60.3 mm/2.374 in,168.3 mm/6.626 in,19 mm/0.748 in,23.8 mm/0.937 in,20.6 mm,114.3 mm/4.5 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,30.2 mm/1.189 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAK1 3/4 NT,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 3/4 NT,52.39 mm/2.063 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.35 mm/5.88 in,14.3 mm/0.563 in,28.6 mm/1.126 in,17.5 mm,104.8 mm/4.126 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
RAS1 3/4 NT,1 3/4 in,52.4 mm / 2.063 in,20500 N / 4600 lbf,36300 N / 8160 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/4 in,Ball Bearing,G1112KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS1 3/4 NT,53.98 mm/2.125 in,191.3 mm/7.531 in,52.4 mm/2.063 in,149.2 mm/5.874 in,14.3 mm/0.563 in,28.6 mm/1.126 in,19.1 mm,106.4 mm/4.189 in,63.5 mm/2.5 in,56.4 mm/2.22 in,35 mm/1.378 in,26.2 mm/1.031 in,20500 N/4600 lbf,36300 N/8160 lbf,
VAK1 7/8,1 7/8 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/8 in,Ball Bearing,GRA114RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 7/8,55.56 mm/2.187 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,17.5 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,43.7 mm/1.72 in,32.7 mm/1.287 in,27.8 mm/1.094 in,23200 N/5210 lbf,38900 N/8740 lbf,
VAS1 7/8,1 7/8 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/8 in,Ball Bearing,GRA114RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 7/8,57.15 mm/2.25 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,43.7 mm/1.72 in,32.7 mm/1.287 in,27.8 mm/1.094 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAK1 7/8,1 7/8 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/8 in,Ball Bearing,G1114KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 7/8,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
TAK1 7/8,1 7/8 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/8 in,Ball Bearing,G1114KPPB3,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 7/8,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAS1 7/8,1 7/8 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/8 in,Ball Bearing,G1114KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 7/8,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
TAS1 7/8,1 7/8 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/8 in,Ball Bearing,G1114KPPB3,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 7/8,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RSA1 7/8,1 7/8 in,69.8 mm / 2.748 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/8 in,Ball Bearing,G1114KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 7/8,69.85 mm/2.75 in,269.9 mm/10.626 in,69.8 mm/2.748 in,209.6 mm/8.252 in,19 mm/0.748 in,34.9 mm/1.374 in,26.2 mm,130.2 mm/5.126 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,34.9 mm/1.374 in,23200 N/5210 lbf,38900 N/8740 lbf,
VAK1 15/16,1 15/16 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 15/16 in,Ball Bearing,GRA115RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 15/16,55.56 mm/2.187 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,17.5 mm/0.689 in,23.8 mm/0.937 in,17.5 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,43.7 mm/1.72 in,32.7 mm/1.287 in,27.8 mm/1.094 in,23200 N/5210 lbf,38900 N/8740 lbf,
VAS1 15/16,1 15/16 in,55.6 mm / 2.189 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 15/16 in,Ball Bearing,GRA115RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 15/16,57.15 mm/2.25 in,200 mm/7.874 in,55.6 mm/2.189 in,158 mm/6.22 in,18.3 mm/0.72 in,29.4 mm/1.157 in,19 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,43.7 mm/1.72 in,32.7 mm/1.287 in,27.8 mm/1.094 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAKH1 15/16,1 15/16 in,73 mm / 2.874 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB,Shroud Seal,Two-Bolt Pillow Block,RAKH1 15/16,63.5 mm/2.5 in,241.3 mm/9.5 in,73 mm/2.874 in,171.4 mm/6.748 in,17.5 mm/0.689 in,36.5 mm/1.437 in,22.2 mm,122.2 mm/4.811 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,36.5 mm/1.437 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAKHL1 15/16,1 15/16 in,63.500 mm / 2.5000 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Expansion,1 15/16 in,Ball Bearing,1115KRS,Shroud Seal,Two-Bolt Pillow Block,RAKHL1 15/16,63.5 mm/2.5 in,241.3 mm/9.5 in,63.500 mm/2.5000 in,171.4 mm/6.748 in,17.5 mm/0.689 in,36.5 mm/1.437 in,22.2 mm,129.4 mm/5.094 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,31.8 mm/1.252 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAO1 15/16,1 15/16 in,73 mm / 2.874 in,37900 N / 8510 lbf,68600 N / 15400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 15/16 in,Ball Bearing,GN115KRRB,Shroud Seal,Two-Bolt Pillow Block,RAO1 15/16,71.44 mm/2.813 in,265.1 mm/10.437 in,73 mm/2.874 in,209.6 mm/8.252 in,19 mm/0.748 in,25.4 mm/1 in,33.3 mm,141.3 mm/5.563 in,75.8 mm/2.984 in,66.7 mm/2.6260 in,42.1 mm/1.657 in,36.5 mm/1.437 in,37900 N/8510 lbf,68600 N/15400 lbf,
RSAO1 15/16,1 15/16 in,79.4 mm / 3.126 in,37900 N / 8510 lbf,68600 N / 15400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 15/16 in,Ball Bearing,GN115KRRB,Shroud Seal,Two-Bolt Pillow Block,RSAO1 15/16,79.38 mm/3-1/8 in,288.9 mm/11.374 in,79.4 mm/3.126 in,228.6 mm/9 in,19 mm/0.748 in,28.6 mm/1.126 in,33.3 mm,148.4 mm/5.843 in,75.8 mm/2.984 in,66.7 mm/2.6260 in,42.1 mm/1.657 in,39.7 mm/1.563 in,37900 N/8510 lbf,68600 N/15400 lbf,
LSAO1 15/16,1 15/16 in,79.4 mm / 3.126 in,37900 N / 8510 lbf,68600 N / 15400 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 15/16 in,Ball Bearing,GN115KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LSAO1 15/16,79.38 mm/3-1/8 in,288.9 mm/11.374 in,79.4 mm/3.126 in,228.6 mm/9 in,19 mm/0.748 in,28.6 mm/1.126 in,33.3 mm,148.4 mm/5.843 in,75.8 mm/2.984 in,66.7 mm/2.6260 in,42.1 mm/1.657 in,39.7 mm/1.563 in,37900 N/8510 lbf,68600 N/15400 lbf,
RAK1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 15/16,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
TAK1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KPPB3,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 15/16,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
LAK1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LAK1 15/16,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAS1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 15/16,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
TAS1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KPPB3,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 15/16,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
LAS1 15/16,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KPPB3,Labyrinth Seal,Two-Bolt Pillow Block,LAS1 15/16,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RSA1 15/16,1 15/16 in,69.8 mm / 2.748 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 15/16,69.85 mm/2.75 in,269.9 mm/10.626 in,69.8 mm/2.748 in,209.6 mm/8.252 in,19 mm/0.748 in,34.9 mm/1.374 in,26.2 mm,130.2 mm/5.126 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,34.9 mm/1.374 in,23200 N/5210 lbf,38900 N/8740 lbf,
LSA1 15/16,1 15/16 in,69.8 mm / 2.748 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB,Shroud Seal,Two-Bolt Pillow Block,LSA1 15/16,69.85 mm/2.75 in,269.9 mm/10.626 in,69.8 mm/2.748 in,209.6 mm/8.252 in,19 mm/0.748 in,34.9 mm/1.374 in,26.2 mm,130.2 mm/5.126 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,34.9 mm/1.374 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAK1 15/16 NT,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 15/16 NT,55.56 mm/2.187 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,17.7 mm,112.7 mm/4.437 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RAS1 15/16 NT,1 15/16 in,57.9 mm / 2.28 in,23200 N / 5210 lbf,38900 N / 8740 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 15/16 in,Ball Bearing,G1115KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS1 15/16 NT,57.15 mm/2.25 in,200 mm/7.874 in,57.9 mm/2.28 in,158 mm/6.22 in,18.3 mm/0.72 in,25.4 mm/1 in,19.1 mm,114.3 mm/4.5 in,69.9 mm/2.752 in,62.7 mm/2.469 in,38.1 mm/1.5 in,29 mm/1.142 in,23200 N/5210 lbf,38900 N/8740 lbf,
RSAOC1 15/16,1 15/16 in,79.4 mm / 3.126 in,37900 N / 8510 lbf,68600 N / 15400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Medium-Duty,1 15/16 in,Ball Bearing,GN115KRRB,Shroud Seal,Two-Bolt Pillow Block,RSAOC1 15/16,79.38 mm/3-1/8 in,288.9 mm/11.374 in,79.4 mm/3.126 in,228.6 mm/9 in,19 mm/0.748 in,28.6 mm/1.126 in,33.3 mm,148.4 mm/5.843 in,75.8 mm/2.984 in,66.7 mm/2.6260 in,42.1 mm/1.657 in,39.7 mm/1.563 in,37900 N/8510 lbf,68600 N/15400 lbf,
