Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Dimension d1,Dimension B1,Dimension S1,Dimension T,Static Load Rating,Dynamic Load Rating,Dimension A1
RAK 3/4 NT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK 3/4 NT,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.78 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
RAS 3/4 NT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS 3/4 NT,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
RAS 3/4 PT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS 3/4 PT,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
PBS 3/4,3/4 in,25.4 mm / 1 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,3/4 in,Ball Bearing,RA012RRB,Shroud Seal,Two-Bolt Pillow Block,PBS 3/4,33.3 mm/1.313 in,127 mm/5 in,25.4 mm/1 in,96.8 mm/3.813 in,10.3 mm/0.406 in,15.9 mm/0.625 in,3 mm/0.119 in,68.3 mm/2.688 in,33.3 mm/1.311 in,31 mm/1.22 in,23.51 mm/0.926 in,,6500 N/1460 lbf,14200 N/3190 lbf,2.11 mm/0.083 in
PB 3/4,3/4 in,25.4 mm / 1 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,3/4 in,Ball Bearing,RA012RRB,Shroud Seal,Two-Bolt Pillow Block,PB 3/4,25.4 mm/1 in,104.8 mm/4.125 in,25.4 mm/1 in,,10.3 mm/0.406 in,,2.54 mm/0.1 in,52.4 mm/2.063 in,33.3 mm/1.311 in,31 mm/1.22 in,23.51 mm/0.926 in,15.9 mm/0.625 in,6500 N/1460 lbf,14200 N/3190 lbf,
RPB 3/4,3/4 in,28.6 mm / 1.125 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,3/4 in,Ball Bearing,RA012RRB,Shroud Seal,Two-Bolt Pillow Block,RPB 3/4,28.6 mm/1.125 in,114 mm/4.5 in,28.6 mm/1.125 in,,10.3 mm/0.406 in,,5.28 mm/0.208 in,56.4 mm/2.219 in,33.3 mm/1.311 in,31 mm/1.22 in,23.51 mm/0.926 in,14.3 mm/0.563 in,6500 N/1460 lbf,14200 N/3190 lbf,
VAK 7/8,7/8 in,35.7 mm / 1.406 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,7/8 in,Ball Bearing,GRA014RRB,Molded Shroud,Two-Bolt Pillow Block,VAK 7/8,33.34 mm/1.313 in,139.7 mm/5.5 in,35.7 mm/1.406 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,68.3 mm/2.689 in,38.1 mm/1.5 in,31 mm/1.22 in,23.51 mm/0.926 in,17.9 mm/0.705 in,7800 N/1750 lbf,15500 N/3490 lbf,
VAS 7/8,7/8 in,35.7 mm / 1.406 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,7/8 in,Ball Bearing,GRA014RRB,Molded Shroud,Two-Bolt Pillow Block,VAS 7/8,36.51 mm/1.437 in,139.7 mm/5.5 in,35.7 mm/1.406 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm,71.4 mm/2.811 in,38.1 mm/1.5 in,31 mm/1.22 in,23.51 mm/0.926 in,17.9 mm/0.705 in,7800 N/1750 lbf,15500 N/3490 lbf,
RAK 7/8,7/8 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,7/8 in,Ball Bearing,G1014KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK 7/8,33.34 mm/1.313 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,69.8 mm/2.748 in,38.1 mm/1.5 in,44.4 mm/1.748 in,26.9 mm/1.059 in,18.7 mm/0.736 in,7800 N/1750 lbf,15500 N/3490 lbf,
TAK 7/8,7/8 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,7/8 in,Ball Bearing,G1014KPPB3,Tri-Ply Seal,Two-Bolt Pillow Block,TAK 7/8,33.34 mm/1.313 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,69.8 mm/2.748 in,38.1 mm/1.5 in,44.4 mm/1.748 in,26.9 mm/1.059 in,18.7 mm/0.736 in,7800 N/1750 lbf,15500 N/3490 lbf,
